AppID,Name,Release date,Estimated owners,Peak CCU,Price,Positive,Negative,Genres,Price_USD,Total_Reviews,Pct_Positive,Genre_Utama,Tahun_Rilis,Bulan_Rilis
2434070,WaterReminder,2023-07-20,0 - 20000,0,0.59,1,0,"Indie,Education,Utilities",0.59,1,100.0,Indie,2023,7
2151920,Folletti,2023-04-21,20000 - 50000,0,5.99,3,0,"Action,Adventure,Indie,RPG",5.99,3,100.0,Action,2023,4
1257890,The Legacy: Realm of Terror,2020-10-02,0 - 20000,0,2.44,8,0,"Action,Adventure,RPG",2.44,8,100.0,Action,2020,10
873790,Freebot : Battle for FreeWeb,2018-06-18,0 - 20000,0,0.79,11,7,"Action,Indie",0.79,18,61.11,Action,2018,6
2511040,The Third Age,2023-09-18,0 - 0,0,0.0,0,0,"Massively Multiplayer,Simulation,Strategy,Free To Play",0.0,0,0.0,Massively Multiplayer,2023,9
1648560,Nursery Slime,2021-10-22,20000 - 50000,1,5.59,149,18,"Adventure,RPG",5.59,167,89.22,Adventure,2021,10
585690,Minimalism,2017-02-08,2000000 - 5000000,49,0.49,1276,465,"Action,Adventure,Casual,Indie",0.49,1741,73.29,Action,2017,2
2702470,Poly Roam,2023-12-21,0 - 20000,0,7.69,87,29,"Action,Adventure,Casual,Indie,Early Access",7.69,116,75.0,Action,2023,12
1145820,INFECTIS,2019-10-07,0 - 20000,0,5.19,10,5,"Adventure,Indie",5.19,15,66.67,Adventure,2019,10
1547300,Drawy,2021-08-31,0 - 20000,0,2.49,46,7,"Casual,Indie",2.49,53,86.79,Casual,2021,8
878020,It's You: A Breakup Story,2018-08-01,0 - 20000,0,4.99,43,7,Indie,4.99,50,86.0,Indie,2018,8
813930,Revoke,2018-07-25,0 - 20000,0,19.99,17,7,"Action,Adventure,Indie,Early Access",19.99,24,70.83,Action,2018,7
2398750,The Trade Prince,2023-07-21,0 - 20000,0,9.99,8,0,"Indie,Simulation,Strategy",9.99,8,100.0,Indie,2023,7
3152330,Depths of Faveg,2024-11-15,20000 - 50000,0,1.99,22,4,"Indie,RPG",1.99,26,84.62,Indie,2024,11
2203970,My Incubi Harem,2023-12-11,20000 - 50000,1,3.49,8,9,"Casual,Simulation",3.49,17,47.06,Casual,2023,12
1079480,BeiJing Courier Simulator,2019-05-24,0 - 20000,0,4.99,7,7,"Casual,Indie,RPG,Simulation",4.99,14,50.0,Casual,2019,5
1910020,Pretty Girls Four Kings Solitaire,2022-03-17,0 - 20000,0,2.49,17,3,Casual,2.49,20,85.0,Casual,2022,3
2766890,Lazer Tag Arena,2025-02-23,0 - 0,0,0.0,0,0,"Action,Casual,Free To Play",0.0,0,0.0,Action,2025,2
1516240,Mitoza,2021-03-05,200000 - 500000,2,0.0,3299,124,"Adventure,Indie",0.0,3423,96.38,Adventure,2021,3
